Sex_M	Age	Age2	pEUR	Height	PRS0	f1	f2	R2_PRS0	Rep	Label2	SE_PRS0	ss1	Test_Data	N	Label
1	58	3364	0.18646724832963	180.97	0.502788652728698	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.261	1000	pEUR>0.17	1.199	PRS_PAGE	HRS_AFR	49781	PAGE
1	76	5776	0.158129049860984	180.34	-1.60804224418127	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.027	1000	all	0.595	PRS_BBJ	HRS_AFR	159095	BBJ
1	76	5776	0.158129049860984	180.34	-1.63065450585734	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	1.492	1000	pEUR<0.17	0.693	PRS_BBJ	HRS_AFR	159095	BBJ
1	58	3364	0.18646724832963	180.97	-0.0978165817820853	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.806	1000	pEUR>0.17	1.076	PRS_BBJ	HRS_AFR	159095	BBJ
1	76	5776	0.158129049860984	180.34	-1.32405918232902	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	5.256	1000	all	0.911	PRS_META_ALL	HRS_AFR	610373	UKBB+BBJ+META_AFR+PAGE
1	76	5776	0.158129049860984	180.34	-1.33160124274667	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.277	1000	pEUR<0.17	1.095	PRS_META_ALL	HRS_AFR	610373	UKBB+BBJ+META_AFR+PAGE
1	58	3364	0.18646724832963	180.97	-0.254678094355395	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	6.716	1000	pEUR>0.17	1.531	PRS_META_ALL	HRS_AFR	610373	UKBB+BBJ+META_AFR+PAGE
1	76	5776	0.158129049860984	180.34	-0.818146191212632	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	5.788	1000	all	0.973	PRS_META_ALL2	HRS_AFR	660019	UKBB+GIANT+BBJ+META_AFR+PAGE
1	76	5776	0.158129049860984	180.34	-0.749773535639132	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.825	1000	pEUR<0.17	1.165	PRS_META_ALL2	HRS_AFR	660019	UKBB+GIANT+BBJ+META_AFR+PAGE
1	58	3364	0.18646724832963	180.97	-0.329540447356235	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	7.25	1000	pEUR>0.17	1.636	PRS_META_ALL2	HRS_AFR	660019	UKBB+GIANT+BBJ+META_AFR+PAGE
1	76	5776	0.158129049860984	180.34	-0.450831375985577	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.598	1000	all	0.778	PRS_META_EUR	HRS_AFR	613667	UKBB+GIANT
1	76	5776	0.158129049860984	180.34	-0.323666807777163	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.029	1000	pEUR<0.17	0.958	PRS_META_EUR	HRS_AFR	613667	UKBB+GIANT
1	58	3364	0.18646724832963	180.97	-0.394378432562094	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.52	1000	pEUR>0.17	1.27	PRS_META_EUR	HRS_AFR	613667	UKBB+GIANT
1	76	5776	0.158129049860984	180.34	-1.24659128952511	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.952	1000	all	0.793	PRS_META_NEA	HRS_AFR	249985	META_AFR+PAGE+BBJ
1	76	5776	0.158129049860984	180.34	-1.22254903483107	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.184	1000	pEUR<0.17	0.923	PRS_META_NEA	HRS_AFR	249985	META_AFR+PAGE+BBJ
